,lang,rank,result,type
0,german,0,"['vernachlässigbarem', 'vernachlässigbahem', 'vhem', 'fernachlässigbarem', 'frem', 'vernachem', 'vehem', 'vernachlässihem', 'vernachlässhem', 'vernachläshem']",base
1,german,99999999,"['Nachmittöge', 'Nöge', 'Nöchmittage', 'Nöpfe', 'Nachmittaöpfe', 'Nachmitöge', 'Nachmitöage', 'Nachmiöge', 'Nachmiötage', 'Nachmöge']",base
2,german,99999999,"['Numorvolles', 'Nles', 'Nlles', 'Nolles', 'Nmorvolles', 'Norvolles', 'Nrvolles', 'Nvolles', 'Nales', 'Naumorvolles']",base
3,german,0,"['wackeligsten', 'rackeligsten', 'wackedigsten', 'wdigsten', 'wigsten', 'wgsten', 'religsten', 'rligsten', 'rigsten', 'rgsten']",base
4,german,0,"['erkennen', 'srkennen', 'erkengen', 'egen', 'een', 'en', 'snen', 'sen', 'sn', 'erken']",base
5,german,0,"['einfältigstes', 'einfältinstes', 'enstes', 'ginfältigstes', 'ggstes', 'einstes', 'einfältnstes', 'einfälnstes', 'einfänstes', 'einfnstes']",base
6,german,99999999,"['aristokratischestes', 'aristokratischeatea', 'aristokratischearistokratisctearistokratisc', 'aristokratischearistokratistearistokratis', 'aristokratischeates', 'aristokratischestea', 'sristokratischeatea', 'aristokratischeartear', 'aristokratischeariteari', 'aristokratischearistearis']",base
7,german,0,"['erlangte', 'ertlange', 'etrlange', 'erte', 'erlanrte', 'ete', 'irlangte', 'erlantge', 'erlatnge', 'erltange']",base
8,german,0,"['Ansprache', 'Ang', 'Ansprachg', 'Ag', 'Vnsprache', 'Ve', 'Anspracg', 'Ansprag', 'Ansprg', 'Anspg']",base
9,german,0,"['langjährigeres', 'langjährigerel', 'langjährigerelangjähri', 'langjährigerelangjähr', 'langjährigerelangjäh', 'sangjährigerel', 'langjährigerela', 'langjährigerelan', 'langjährigerelang', 'langjährigerelangj']",base
10,german,0,"['malerischerer', 'maleriscderer', 'mderer', 'galerischerer', 'gherer', 'malerischcrcr', 'malerischaleriscraleriscr', 'malerischarar', 'maderer', 'gerischerer']",base
11,german,0,"['silberglänzende', 'sige', 'silberglänzenge', 'milberglänzende', 'sge', 'mde', 'silge', 'silberglänzege', 'silberglänzge', 'silberglänge']",base
12,german,0,"['schokoladiger', 'schokoladiser', 'schokoladischokolaer', 'schokoladischokolader', 'schokoladischokoer', 'schokoladischokoler', 'gchokoladiser', 'schokoladiscer', 'schokoladischer', 'schokoladischoer']",base
13,german,0,"['ertragest', 'ertragesg', 'ertragesrtrag', 'ertratesg', 'etesrtrag', 'ertragestrag', 'ertragesag', 'ertragesrag', 'ertratest', 'brtragest']",base
14,german,0,"['untreuer', 'untreuur', 'untreuuntrer', 'untreuuntrr', 'untreuuntr', 'entreuur', 'untreuunr', 'euuntrer', 'unter', 'untreter']",base
15,german,0,"['tolerierbare', 'tolerierbake', 'tke', 'bolerierbare', 'bre', 'tolerierke', 'tolerke', 'toke', 'tolerierbke', 'tolerieke']",base
